run,solver,total_cost,warnings,point_size,png,gif,webm
mincut_knit_4way_light_grain100,mincut,6621.371668253401,0,5,outputs/seams_run/variant_matrix_20260212/mincut_knit_4way_light_grain100/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/mincut_knit_4way_light_grain100/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/mincut_knit_4way_light_grain100/overlay_orbit.webm
mincut_knit_4way_light_grain100_smallrom,mincut,2.0,8,5,outputs/seams_run/variant_matrix_20260212/mincut_knit_4way_light_grain100_smallrom/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/mincut_knit_4way_light_grain100_smallrom/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/mincut_knit_4way_light_grain100_smallrom/overlay_orbit.webm
mincut_woven_2way_grain100,mincut,5838.234526138127,0,5,outputs/seams_run/variant_matrix_20260212/mincut_woven_2way_grain100/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/mincut_woven_2way_grain100/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/mincut_woven_2way_grain100/overlay_orbit.webm
mincut_woven_2way_grain100_smallrom,mincut,2.0,8,5,outputs/seams_run/variant_matrix_20260212/mincut_woven_2way_grain100_smallrom/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/mincut_woven_2way_grain100_smallrom/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/mincut_woven_2way_grain100_smallrom/overlay_orbit.webm
mst_knit_4way_light_grain100,mst,13290.20715036016,8,5,outputs/seams_run/variant_matrix_20260212/mst_knit_4way_light_grain100/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/mst_knit_4way_light_grain100/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/mst_knit_4way_light_grain100/overlay_orbit.webm
mst_woven_2way_grain100,mst,11338.313882901137,8,5,outputs/seams_run/variant_matrix_20260212/mst_woven_2way_grain100/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/mst_woven_2way_grain100/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/mst_woven_2way_grain100/overlay_orbit.webm
pda_knit_4way_light_grain100,pda,154918.66424937226,0,5,outputs/seams_run/variant_matrix_20260212/pda_knit_4way_light_grain100/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/pda_knit_4way_light_grain100/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/pda_knit_4way_light_grain100/overlay_orbit.webm
pda_woven_2way_grain100,pda,152966.77211549392,0,5,outputs/seams_run/variant_matrix_20260212/pda_woven_2way_grain100/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/pda_woven_2way_grain100/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/pda_woven_2way_grain100/overlay_orbit.webm
shortest_path_knit_4way_light_grain100,shortest_path,26.824029849743116,8,5,outputs/seams_run/variant_matrix_20260212/shortest_path_knit_4way_light_grain100/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/shortest_path_knit_4way_light_grain100/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/shortest_path_knit_4way_light_grain100/overlay_orbit.webm
shortest_path_woven_2way_grain100,shortest_path,26.796400085081004,0,5,outputs/seams_run/variant_matrix_20260212/shortest_path_woven_2way_grain100/overlay_front_3q.png,outputs/seams_run/variant_matrix_20260212/shortest_path_woven_2way_grain100/overlay_orbit.gif,outputs/seams_run/variant_matrix_20260212/shortest_path_woven_2way_grain100/overlay_orbit.webm
